country,metric
Nigeria,100
Salvador,90
Pays-Bas caribéens,0
Namibie,0
Benin,0
Curacao,0
Liechtenstein,0
Iles Comores,0
Eswatini,0
Ghana,47
Autriche,47
Pays-Bas,46
Kosovo,0
Suisse,46
Afrique du Sud,45
Sainte-Héléne,0
Slovenie,44
Cameroun,0
Bermudes,0
Gibraltar,0
Singapour,42
Chypre,0
Botswana,0
Iles Feroes,0
Lesotho,0
Saint-Martin ,0
Guam,0
Saint-Martin,0
Canada,37
Andorre,0
Bhoutan,0
Togo,0
Cuba,0
Ile de Main,0
Jersey,0
Tchequie,35
Turquie,35
Saint-Christophe,0
Allemagne,35
Australie,34
Luxembourg,0
Iles turques,0
Aruba,0
Malte,0
Antigua-et-Barbuda,0
Papouasie Nouvelle-Guinee,0
Islande,0
Irlande,30
Estonie,0
Palaos,0
Emirats Arabe Unies,29
Kenya,29
Ile Groenland,0
Bresil,27
Groenland,0
Belgique,27
Nouvelle-Zelande,27
Guernesey,0
Etats-Unis,26
Pakistan,26
Zimbabwe,0
Cote Ivoire,0
Bahamas,0
Macedoine du Nord,0
Croatie,25
Albanie,0
Barbade,0
Norvege,25
Madagascar,0
Hong Kong,25
Royaume-Uni,25
Republique centrafricaine,0
Maldives,0
Mongolie,0
Slovaquie,24
Suede,23
Malaisie,23
Espagne,23
Brunei,0
Trinity-Tobago,0
Iles Vierges britanniques,0
Saint-Marin,0
Liban,0
Finlande,22
Burundi,0
Georgie,0
Nepale,0
Seychelles,0
Portugal,21
Iles Vierge des Etats-Unis,0
Panama,0
Ethiopie,0
Venezuela,20
Colombie,19
Roumanie,19
Lettonie,0
Ouganda,0
Burkina Faso,0
Maurice,0
Philippines,19
Iles Mariannes du Nord,0
Suriname,0
Sainte-Lucie,0
Bulgarie,18
Grenade,0
Bahrein,0
Qatar,0
Lituanie,18
Rwanda,0
Inde,18
Argentine,18
Belize,0
Sahara occidental,0
Italie,17
Iles Salomon,0
Guinee equatoriale,0
Pologne,17
Laos,0
Gambie,0
Vanuatu,0
Israel,16
Danemark,16
Costa Rica,0
Polynesie francaise,0
Jamaique,0
Zambie,0
Afghanistan,0
Saint-Pierre-et-Miquelon,0
Cambodge,0
Armenie,0
Serbie,16
Somalie,0
Republique dominicaine,15
Sri Lanka,0
Vietnam,14
Paraguay,0
Tanzanie,0
Montenegro,0
Grece,14
Malawi,0
Cap-Vert,0
Hongrie,14
Guyana,0
Uruguay,0
Congo-Brazzaville,0
Saint-Barthelemy,0
France,13
Angola,0
Bosnie-Herzegovine,0
Soudan du Sud,0
Dominique,0
Fidji,0
√éles Marshall,0
Guinee-Bissau,0
Haiti,0
Myanmar (Birmanie),0
Bangladesh,13
Nouvelle-Caledonie,0
Monaco,0
Saint-Vincent-et-les Grenadines,0
Moldavie,0
Tunisie,0
Turkmenistan,0
Djibouti,0
Niger,0
Indon√©sie,12
Macao,0
Honduras,0
Azerbaidjan,0
Sierra Leone,0
Gabon,0
Koweit,0
Senegal,0
Samoa,0
Perou,11
Maroc,11
Mexique,10
Liberia,0
Bolivie,0
Porto Rico,0
Thailande,10
Ouzbekistan,0
equateur,10
Guatemala,0
Nicaragua,0
Chili,10
Congo-Kinshasa,0
Mozambique,0
Oman,0
Guadeloupe,0
Guyane francaise,0
La Reunion,0
Mali,0
Martinique,0
Anguilla,0
Coree du Sud,8
Tchad,0
Mauritanie,0
Guin√©e,0
Jordanie,0
Mayotte,0
Iran,7
Ukraine,6
Palestine,0
Algerie,0
Russie,6
Arabie saoudite,6
Timor oriental,0
egypte,5
Syrie,0
Libye,0
Kirghizstan,0
Irak,0
Kazakhstan,0
Bieloorussie,0
Tadjikistan,0
Taiwan,4
Soudan,0
Chine,0
Yemen,0
Japon,1
√éle Bouvet,0
√éle Christmas,0
Nauru,0
Coree du Nord,0
Svalbard et Jan Mayen,0
Montserrat,0
Kiribati,0
Iles Malouines Iles Falkland),0
Iles Cook,0
Iles whales Xrp,0
Samoa americaines,0
erythree,0
Tonga,0
Territoire britannique de l ocean Indien,0
Micronesie,0
Comores,0
Antarctique,0
Terres australes francaises,0
Iles Cocos,0
Iles Heard-et-MacDonald,0
ile Norfolk,0
Niue,0
Iles Pitcairn,0
Géorgie du Sud-et-les iles Sandwich du Sud,0
Tokelau,0
Tuvalu,0
Iles mineurs éloingées des Etats-Unis,0
Cité du Vatican,0
Wallis-et-Futuna,0
,
